,sample,type
1,inv16-R-49-CR,CR
2,inv16-R-52-CR,CR
3,inv16-R-53-CR,CR
4,inv16-R-55-CR,CR
5,inv16-R-58-CR,CR
6,inv16-R-59-CR,CR
7,inv16-R-61-CR,CR
8,inv16-R-62-CR,CR
9,inv16-R-63-CR,CR
10,inv16-R-65-CR,CR
11,inv16-R-66-CR,CR
12,inv16-R-67-CR,CR
13,inv16-R-68-CR,CR
14,inv16-R-70-CR,CR
15,inv16-R-71-CR,CR
16,inv16-R-72-CR,CR
17,inv16-R-73-CR,CR
18,inv16-R-74-CR,CR
19,inv16-R-75-CR,CR
20,t8_21-R-10-CR,CR
21,t8_21-R-11-CR,CR
22,t8_21-R-15-CR,CR
23,t8_21-R-16-CR,CR
24,t8_21-R-18-CR,CR
25,t8_21-R-20-CR,CR
26,t8_21-R-21-CR,CR
27,t8_21-R-22-CR,CR
28,t8_21-R-23-CR,CR
29,t8_21-R-31-CR,CR
30,t8_21-R-32-CR,CR
31,t8_21-R-33-CR,CR
32,t8_21-R-34-CR,CR
33,t8_21-R-35-CR,CR
34,t8_21-R-37-CR,CR
35,t8_21-R-38-CR,CR
36,t8_21-R-39-CR,CR
37,t8_21-R-40-CR,CR
38,t8_21-R-46-CR,CR
39,t8_21-R-5-CR,CR
40,t8_21-R-7-CR,CR
41,t8_21-R-8-CR,CR
42,t8_21-R-9-CR,CR
43,inv16-R-49-Dx,Dx
44,inv16-R-52-Dx,Dx
45,inv16-R-53-Dx,Dx
46,inv16-R-55-Dx,Dx
47,inv16-R-58-Dx,Dx
48,inv16-R-59-Dx,Dx
49,inv16-R-61-Dx,Dx
50,inv16-R-62-Dx,Dx
51,inv16-R-63-Dx,Dx
52,inv16-R-65-Dx,Dx
53,inv16-R-66-Dx,Dx
54,inv16-R-67-Dx,Dx
55,inv16-R-68-Dx,Dx
56,inv16-R-70-Dx,Dx
57,inv16-R-71-Dx,Dx
58,inv16-R-72-Dx,Dx
59,inv16-R-73-Dx,Dx
60,inv16-R-74-Dx,Dx
61,inv16-R-75-Dx,Dx
62,t8_21-R-10-Dx,Dx
63,t8_21-R-11-Dx,Dx
64,t8_21-R-15-Dx,Dx
65,t8_21-R-16-Dx,Dx
66,t8_21-R-18-Dx,Dx
67,t8_21-R-20-Dx,Dx
68,t8_21-R-21-Dx,Dx
69,t8_21-R-22-Dx,Dx
70,t8_21-R-23-Dx,Dx
71,t8_21-R-31-Dx,Dx
72,t8_21-R-32-Dx,Dx
73,t8_21-R-33-Dx,Dx
74,t8_21-R-34-Dx,Dx
75,t8_21-R-35-Dx,Dx
76,t8_21-R-37-Dx,Dx
77,t8_21-R-38-Dx,Dx
78,t8_21-R-39-Dx,Dx
79,t8_21-R-40-Dx,Dx
80,t8_21-R-46-Dx,Dx
81,t8_21-R-5-Dx,Dx
82,t8_21-R-7-Dx,Dx
83,t8_21-R-8-Dx,Dx
84,t8_21-R-9-Dx,Dx
85,t8_21-R-11-Rela,Rela
86,t8_21-R-18-Rela,Rela
87,t8_21-R-34-Rela,Rela
88,t8_21-R-38-Rela,Rela
89,t8_21-R-39-Rela,Rela
90,t8_21-R-7-Rela,Rela
